term,example
plotting,There is a rumor that the radicals are plotting against the government.
plotting,They are plotting to kill the king.
plotting,Tom and Mary were plotting to kill Tom's father for the life insurance.
plotting,I don't know what Tom is plotting.
plunge,Stock prices plunged to a record low.
plunge,The Dow plunged 35 points and then bottomed out.
plunge,The robber tried to plunge the knife into the boy.
plunge,Many people were plunged into distress by the news.
pointless,Life without love is just totally pointless.
pointless,Don't bother your parents with such a pointless thing.
pointless,It's pointless arguing with him.
pointless,I was disgusted with his pointless talk.
ponder,We all pondered over what had taken place.
ponder,She pondered the question for a while.
ponder,Tom was probably pondering something.
ponder,Tom pondered the question for a while.
potty,Our daughter is potty trained.
potty,"Excuse my brother Tom, he's a bit of a potty-mouth."
potty,Only now is he learning to use his potty.
potty,My son is being potty trained.
pounding,"With her heart pounding, she opened the door."
pounding,His heart was pounding as he told me that.
pounding,My heart was pounding as my turn got nearer.
pounding,My heart is pounding so hard it feels like it's going to explode.
pretend,It's no use pretending to make me believe that I believe things you don't believe!
pretend,"We are what we pretend to be, so we must be careful what we pretend to be."
pretend,It is no use your pretending that you know nothing.
pretend,There is no point in pretending to be sick.
pricy,This restaurant is quite pricy for what it has to offer.
pulse,The doctor thought the patient's pulse was rather rapid.
pulse,In the patient's body the pulse began beating again.
pulse,"Body temperature rising, pulse rising ... he's in a state of oxygen deficiency."
pulse,The doctor checked the patient's pulse.
pun,Puns are often untranslatable into another language.
pun,The pun is unfortunately untranslatable.
pun,"There were puns in the holy writings, and they got lost in translation."
pun,The audience groaned at some of Tom's puns.
purse,I had my purse and commutation ticket stolen while I was sleeping on the train.
purse,I lost my purse on my way to school.
purse,My wife holds the purse strings in our family.
purse,It was not until I reached home that I missed my purse.
quips,I'm spending seven out of five of my working days writing pseudo-salient quips.
quirks,Advanced learners of a language would usually get the gist but not the quirks.
quirks,My car has developed a few quirks over the years.
quirks,"You need to respect Tom, quirks and all."
quirks,Elderly people accumulate quirks.
rabble,The rabble has decapitated the king.
rabble,Tom called the striking workers a rabble.
racket,You have the same racket as I have.
racket,Send me a racket and my tennis shoes.
racket,It was this racket that Mike bought yesterday.
racket,It was yesterday that Mike bought this racket.
rather,More people get into trouble for things they say rather than for what they do.
rather,I'd rather be a bird than a fish.
rather,You'd better stay at home rather than go out on such a day.
rather,I would rather you had a day off.
reckless,The knight is not so much brave as reckless.
reckless,The reckless girl climbed the tree regardless of danger.
reckless,"Jim drove too fast, which was reckless."
reckless,The police ascribed the automobile accident to reckless driving.
reek,"When he came and found me, his whole body reeked of alcohol."
reek,Tell me something interesting about garlic because you reek of it.
reek,Sami's breath reeked of alcohol.
reek,Sami's apartment reeks of cat shit.
regardless,"Regardless of the amount, Brian wants the correct, entire amount by next week."
regardless,"Schools are expected to meet the needs of every child, regardless of ability."
regardless,The meeting will be held regardless of the weather.
regardless,The millionaire intended to purchase the masterpiece regardless of cost.
regret,"Sooner or later, you will regret your idleness."
regret,You will soon regret your rash conduct.
regret,A time will come when you will regret your action.
regret,The time will come when you'll regret it.
rehearsal,"After a ten-minute break, we resumed our rehearsal."
rehearsal,"With the extra rehearsals, work is really tight."
rehearsal,"Tomorrow there will be no normal lessons, in view of the athletic meet rehearsal."
rehearsal,It's a good thing that this happened during the rehearsal and not the performance!
relatable,The reason he won the election is because a lot of people found him relatable.
relatable,"The phrase ""I feel personally attacked"" is used as a jocular reply to relatable content."
relatable,It's relatable; I'm the same way.
relatable,I actually found the villain rather relatable.
relentlessly,The tropical sun glared down relentlessly.
relentlessly,The rain fell relentlessly all day long.
relentlessly,"In life, good and evil clash relentlessly."
relentlessly,The north wind did howl relentlessly outside our window.
reminiscing,My poem of reminiscing spring midnight was created.
reminiscing,Layla and Sami spent two hours reminiscing about their childhood.
reminiscing,Tom and Mary spent the afternoon reminiscing about their childhood.
reminiscing,Sami kept reminiscing about the good times.
right away,You may as well withdraw from the club right away.
right away,"In case of an emergency, get in touch with my agent right away."
right away,The aggressive salesman urged me to sign the contract right away.
right away,Give medicine to the patient right away.
riot,The riot police arrived on the scene.
riot,The riot was suppressed without difficulty.
riot,The riot was soon put down by the police.
riot,Not less than 10 people were arrested for being involved in the riot.
rough,"The sea got rough, so that we had to give up fishing."
rough,We had a rough crossing on an old ferry.
rough,My job search is really going rough. I don't have any connections.
rough,"Go easy on Bob. You know, he's been going though a rough period recently."
run out of,We've just run out of salt and pepper.
run out of,We need to look for a gas station because this car will soon run out of gas.
run out of,Let's find a gas station; we've run out of fuel.
run out of,"Oops, my pen has run out of ink."
runt,She was the runt of the litter.
runt,He was the runt of the litter.
runt,This puppy was the runt of the litter.
runt,"Tom was always the runt of the group, so everyone picked on him."
ruthless,"Those guys are ruthless, covering up their tracks like that after all their wrongdoing."
ruthless,I had no idea you were so ruthless.
ruthless,Tom is a ruthless businessman.
ruthless,The gang is lead by a ruthless criminal called Tom.
sassy,Don't get sassy with me young lady!
sassy,Sami was sassy with the customer.
sassy,William became really talkative and sassy.
savory,A savory bite doesn't wait long.
savory,Matthew's soup recipe included garlic powder and thyme for a savory flavor.
savory,"Marshmallows can also be used in savory dishes, like chicken skewers."
savory,Do you prefer sweet or savory foods?
savvy,We're looking for some computer-savvy people to work for us.
savvy,"As a phisher, Carl preyed on older and less tech-savvy computer users."
savvy,Tom has no business savvy at all.
savvy,Alberto was just an old guy who wasn't tech-savvy.
scale,Please put your baggage on this scale.
scale,I remember singing scales every day during music lessons.
scale,I want a map of Texas on a scale of 1 to 250000.
scale,It seems the rural area will be developed on a large scale.
scare off,She managed to scare off her attacker by screaming loudly.
scare off,That dog's bark wouldn't even scare off a baby.
scarecrow,The scarecrow in the backyard fell over during the hurricane.
scarecrow,I cannot scare the birds away. I am not a scarecrow.
scarecrow,All the talk about world war is just a scarecrow.
scarecrow,The birds use the scarecrow as a perch.
scattered,Empty cans were scattered about the place.
scattered,Fragments of the mirror were scattered on the floor.
scattered,"With a scream, the spectators scattered."
scattered,Broken glass lay scattered all over the road.
scramble,The players scrambled for the ball.
scramble,They scrambled for the penny in the street.
scramble,Would you like some scrambled egg?
scramble,Fighter jets were scrambled to intercept an airliner that deviated from its flight path.
scrape,She scraped her shoes clean before she entered the house.
scrape,I'm managing scraping along on a small salary.
scrape,The truck scraped along the wall in the narrow road.
scrape,The boy fell and scraped his knee.
screening,Her health screening showed no negative results.
screening,There's a good movie screening today.
screening,When does the screening start?
screening,I've started screening my calls.
screw up,He can't be smart if he can screw up something like that.
screw up,That's me - the coward unable to screw up his courage and find out the truth.
screw up,This is awfully hilly terrain; I hope we don't screw up the transmission.
screw up,Don't screw up. My ass is on the line.
scrub,I couldn't scrub the stain out.
scrub,Tom asked Mary to scrub the toilet.
scrub,"Would you scrub my back, please?"
scrub,Don't use your bare hands to scrub the floor.
sewer,"If it weren’t for the problem with the sewers, we would already have built the house."
sewer,Can you see an owl eating a delicious sewer rat over there? That's me.
sewer,I heard that there were alligators in the sewers.
sewer,Open sewers are very common in Algeria.
shallow,I don't like his shallow personality.
shallow,The pond is too shallow for swimming.
shallow,This river becomes shallow at that point.
shallow,The curriculum of this school is wide and shallow.
shelter,"When you take shelter, make sure you go under a big tree."
shelter,The homeless sought shelter from a shower.
shelter,The homeless sought shelter from the chilly shower.
shelter,I took shelter under my friend's umbrella.
shivering,The poor boys were shivering with fear.
shivering,It was so cold that he was shivering.
shivering,He's shivering because of the cold.
shivering,You're shivering. Are you cold?
shocking,An opinion is shocking only if it is a conviction.
shocking,His nonsensical behavior is shocking.
shocking,This is the most shocking thing that ever happened in my life.
shocking,In my country there is a shocking amount of mathematical ignorance.
shooting star,Look! There goes a shooting star.
shooting star,I have seen a shooting star once.
shooting star,Let me wish upon a shooting star.
shooting star,A shooting star dashed through the sky.
shrink,The shrinking of the domestic market has been blamed on inflation.
shrink,"If you wish to get on in the world, you must not shrink from effort."
shrink,He had but one desire: to shrink away and live among the lights and shadows.
shrink,That material's going to shrink if it's washed.
sigh,The manager balanced the strength of his team against that of their opponent and sighed.
sigh,"Once outside, I gave a deep sigh of relief."
sigh,Light shines on my sigh of doubt.
sigh,I sighed with relief to hear it.
simmering,The soup is simmering on the stove and the bread is cooking in the oven.
simmering,I skimmed the simmering soup with a skimmer.
simmering,There was something simmering between her and her mother-in-law.
simmering,I smell spaghetti sauce simmering.
sip,I had to sip the coffee because it was too hot.
sip,It's nice to sip and savour drinks other than beer as well from time to time.
sip,Tom picked up the glass of water and took a sip.
sip,I sure wouldn't mind a sip of some fine almond liqueur right now.
sissy,American football is for sissies. If you're a real man you play rugby.
sissy,Mary said that Tom was a sissy.
sissy,I dare you to call Tom a sissy.
sissy,"You're a bit of a sissy, aren't you?"
sizzle,The sausages sizzled in the frying pan and smelt delicious.
sizzle,"Tom fried three eggs in the pan and put in bacon too, which sizzled and smelled delicious."
sizzle,What Khalid really loved was the sizzle of bacon in the skillet.
sizzle,Sell the sizzle and not the steak.
skunk,I almost stepped on a skunk last night.
skunk,Tom was as drunk as a skunk the last time I saw him.
skunk,The last time I saw Tom he was as drunk as a skunk.
skunk,I swerved to avoid hitting a skunk.
slams,Did you hear that? That was Mary. She slams the door like that when she's angry.
slightly,The festive mood was slightly spoiled by terrorist bombs.
slightly,But his name is slightly familiar to me.
slightly,I always buy a top quality product even if it is slightly more expensive.
slightly,The tower leaned slightly to the left.
slippers,You're not supposed to wear your slippers down to the lobby.
slippers,I noticed he was wearing my slippers.
slippers,Last night I dreamt that I was at my graduation and I was wearing pyjamas and slippers.
slippers,Give me the slippers! Hey! Give them to me!
slippery,The politician is as slippery as an eel!
slippery,Watch your step. The floor is slippery.
slippery,"Watch your step, as the passageway is slippery."
slippery,Driving on a slippery road can lead to a car wreck.
slippery slope,You must admit this would present quite a slippery slope.
slippery slope,The slippery slope is unavoidable.
slippery slope,Contractions seems to be a slippery slope towards illiteracy.
slippery slope,The centipede skidded down the slippery slope.
sliver,Tom has yogurt topped with slivered almonds for breakfast.
sliver,"I'd only like a sliver, please."
sliver,I'll take a sliver of the cake.
sliver,"There's a sliver of hope in this week's news, at least."
slope,The hill slopes downward to the river.
slope,The land slopes gently toward the river.
slope,One night a merchant was walking up the slope on his way home.
slope,We had to go up and down the slopes.
smart aleck,Tom is a smart aleck with Mary.
Smart ass,"And did you know it, smart ass?"
smirking,What are you smirking at? Did something good happen?
smirking,The smirking male clerk replied.
smirking,Mennad was smirking when I walked in.
smirking,"Ziri and Rima glanced at each other, smirking."
smug,His smug behavior is offensive.
smug,There are so many smug people.
smug,Don't be smug! You could have hurt yourself.
smug,Tom had a smug look on his face.
snarky,Keep your snarky comments to yourself.
snarky,Up to 60% of Imogen of the Internet's nonverbal social cues are snarky hashtags.
snarky,Sami's girlfriend was so snarky.
sneak,Tom was caught sneaking out of the room.
sneak,Two policemen arrested a burglar. They caught him sneaking into Mrs. Miller's.
sneak,The policeman noticed a man sneak in.
sneak,"When the lecturer turned round, he sneaked out of the classroom."
sneaky,"No matter how sneaky you are, you can never surprise yourself."
sneaky,Do people ever accuse you of being sneaky?
sneaky,"Tom is quite sneaky, isn't he?"
sneaky,"Tom and Mary are sneaky, aren't they?"
sneering,Why are you sneering like that again?
snooping,Watch out! A police spy is snooping around.
snooping,Germany is to ban employers from snooping on Facebook.
snooping,Tom caught Mary snooping through his stuff.
snooping,Why did you have to go snooping around?
snore,She's faking sleep. That's why she's not snoring.
snore,I heard Tom snoring during the class.
snore,"When it comes to snoring, no one can top Mr Snore."
snore,Snoring and excessive smoking are indeed related.
so to speak,"You are, so to speak, a fish out of water."
so to speak,"A camel is, so to speak, a ship on the desert."
so to speak,"That old man is, so to speak, a walking dictionary."
so to speak,"This cat is, so to speak, a member of our family."
soaked,The rain soaked through my clothes.
soaked,I was caught in the rain and got soaked to the skin.
soaked,The clothes soaked in water overnight were heavy.
soaked,I was utterly soaked by the downpour.
sobbing,I found that there was a little girl sobbing.
sobbing,The girl was sobbing in the corner of the schoolroom.
sobbing,"On entering the bedroom, she started sobbing."
sobbing,I could hear her sobbing in her bedroom.
soothe,The nurse soothed the crying child.
soothe,Music has a charm that soothes even the savage's breast.
soothe,"In order to relax, I need to listen to soothing music."
soothe,This medicine will soothe your headache.
sorcerer,Witches and sorcerers can make use of magic to make impossible things happen.
sorcerer,The princess was turned into a swan by an evil sorcerer.
sorcerer,What's the difference between a wizard and a sorcerer?
sorcerer,The sorcerer put a spell on the children.
sorrow,"Between astonishment and sorrow, she could not speak a word."
sorrow,Delight is the opposite of sorrow.
sorrow,It is easier to sympathize with sorrow than to sympathize with joy.
sorrow,No words can relieve her deep sorrow.
soundly,The baby was sleeping soundly in his mother's arms.
soundly,"Today was a good day, so I'll sleep soundly tonight."
soundly,The kids that had been so lively when they were awake are now silently sleeping soundly.
soundly,Tom was sleeping soundly on the couch.
sow,"You know the phrase, we reap what we sow. I have sown the wind and this is my storm."
sow,Some day you will have to reap the harvest of your own sowing.
sow,We must sow the seeds of mutual understanding.
sow,"As a man sows, so he shall reap."
spare room,We gathered all the books together and put them in the spare room.
spare room,The spare room is ready for guests.
spare room,Tom rented out his spare room to a student. The student who rented the room was Mary.
spare room,"If the hotel has got a spare room, then book it."
spite,"In spite of the rain, we enjoyed our holiday."
spite,We played golf in spite of the rain.
spite,He went out in spite of the rain.
spite,He started in spite of the rain.
splinter,I can't get this splinter out of my finger.
splinter,I ran a splinter into my finger.
splinter,Tom tried to get the splinter out of Mary's finger.
splinter,"Tom had a splinter in his finger, so he asked Mary to help him get it out."
spotty,Dalmatians are regarded as being highly spotty dogs.
spotty,Service was spotty in the area.
spotty,The wifi connection was spotty at times and the parking was limited.
spotty,Cell coverage is pretty spotty where I live.
sprinkler,The sprinkler is shooting out a stream of water onto the grass.
sprinkler,I thought this building had a sprinkler system.
sprinkler,Sami has to fix the backyard sprinkler.
sprinkler,I thought that this building had a sprinkler system.
stain,Your collar has a stain on it.
stain,"The auditorium is terribly stained. It is, in part, due to acid rain."
stain,Wash the shirt in soapy water and the stains will come out.
stain,"Two shirts and suits, please. There's a stain here."
stands for,Do you know what UNESCO stands for?
stands for,The company stands for free trade.
stands for,"UN, as you know, stands for the United Nations."
stands for,"In this secret code, each number stands for a letter of the alphabet."
steep,"The staircase leading to the rooftop is narrow, steep, and dark."
steep,From this point the climb suddenly became steep.
steep,The steep path is the sole access to the border.
steep,To climb steep hills requires a slow pace at first.
steer,Of course you can trust me. Have I ever given you a bum steer before?
steer,Rigid wheels give sufficient stability to a low-speed vehicle steered by outside forces.
steer,Hideo turned the steering wheel sharply to avoid the bicyclist.
steer,I steered clear of sensitive topics.
stifled,"Even before Reagan and the Supreme Court stifled it, OSHA was a farce."
stifled,Sami was starting to feel stifled.
stifled,I stifled a scream in the sheets.
stifled,Modern copyright laws would have stifled Shakespeare.
sting,I got a nasty sting from a wasp.
sting,Bee stings can be very painful.
sting,The bar was so smoky that my eyes started to sting.
sting,Why do bees die after stinging?
stink,I'll bid farewell to this stinking school.
stink,"""I'm soaked with sweat."" ""Step back. You stink!"""
stink,He is raising a big stink over a minor glitch.
stink,Nail polish remover stinks a lot.
stodgy,"Bill Maher was never funny, but his politics used to be far less stodgy."
stool,A man came in and sat on the stool next to her.
stool,"If you stand on this stool, you can reach the top of the closet."
stool,This stool needs to be repaired.
stool,A woman was sitting on a stool in a bar.
straw,A man of straw is worth a woman of gold.
straw,They filled them with straw to make them round and hard.
straw,The straw appears bent at the place where it enters the water.
straw,"These straw mats, called ""tatami"" in Japanese, are no longer made by hand."
strive,The company always strives to satisfy its customers.
strive,Everyone strives for efficiency but few seem to attain it.
strive,The authorities are striving in vain to stabilize the currency.
strive,They strive constantly to improve customer relations.
stroke,The lion put an end to his prey with one stroke.
stroke,In tennis and ping-pong backhand the hand is turned backwards in making the stroke.
stroke,Selling products sometimes requires having a stroke of genius.
stroke,A lot of people buy lotteries dreaming of wealth at one stroke.
stroll,A short stroll along the beach gave me a good appetite for breakfast.
stroll,One day I strolled into the woods.
stroll,I strolled along the streets to kill time.
stroll,Spaniards love to stroll around in the evening cool.
stubbornness,I've got my stubbornness from my father.
stubbornness,There is no way of curing the stubbornness of the racists.
stubbornness,There was a certain stubbornness in his voice.
stubbornness,Stubbornness can ruin a friendship.
stuffed animal,This stuffed animal belongs to the little girl.
stuffed animal,Mary says that she can't fall asleep without her favorite stuffed animal.
stuffed animal,What's your favorite stuffed animal?
stuffed animal,Tom hugged the stuffed animal.
stumble,The kid stumbled and fell to his knees.
stumble,I often stumble over something as I am blind as a bat in the dark.
stumble,This new announcer keeps stumbling.
stumble,"In early times, inventions were often stumbled upon by accident."
stunning,"She is the type men call ""stunning."""
stunning,Mary looks absolutely stunning.
stunning,That dress looks stunning on her.
stunning,That dress looks stunning on you.
stutter,"When she began to stutter, her classmates couldn't help laughing."
stutter,The newcomer stuttered when he was nervous.
stutter,You're confusing me with that stuttering.
stutter,How is it you speak with such a stutter?
subtle,There are subtle differences between the two things.
subtle,There's a subtle difference in meaning between the two words.
subtle,This word has a subtle nuance to it.
subtle,There is a subtle difference between the two words.
supper,You should apologize to Dad for not coming home in time for supper.
supper,I don't eat supper because I want to lose some weight.
supper,"Well, I clean the rooms, do the laundry, or cook an elaborate supper."
supper,"As soon as you have done that, I would like you to start preparing supper."
surrender,The pirates had no choice but to surrender.
surrender,"Completely surrounded by our troops, the enemy finally surrendered to us."
surrender,The army surrendered its arsenal to the enemy.
surrender,Under the circumstances we have no choice but to surrender.
sweat,Sweat is dripping from his face.
sweat,I felt the sweat trickle down my brow.
sweat,Wipe the sweat from your brow.
sweat,The sweat was dripping off my brow.
sweep,A banking scandal is sweeping across Capitol Hill.
sweep,"If each would sweep before the door, we should have a clean city."
sweep,Everybody is calling for sweeping reforms.
sweep,The party won a sweeping victory at the general election.
swept under the rug,The incident was quickly swept under the rug.
swept under the rug,The murder case was swept under the rug.
swept under the rug,Yanni's accidental death at the factory was completely swept under the rug.
swept under the rug,The scandal was quickly swept under the rug.
swoon,I don’t want a nurse who swoons at the sight of blood.
swoon,"Every time Tom walks by Human Resources, the women swoon."
swoon,Christina swooned when Jack winked at her.
takeaway,I know this guy that lives off takeaways.
takeaway,"""Will you be eating in?"" ""No, I'll have it takeaway."""
takeaway,Let's order a Chinese takeaway.
takeaway,Should I ring for a takeaway now or when we get home?
teasing,It is easy to get the cranky man's goat by teasing him.
teasing,I looked to see if he was teasing me.
teasing,He took delight in teasing the kitten.
teasing,Is the name 'Shinosuke' a target for teasing?
temper,My brother-in-law is ready to lose his temper at trifles.
temper,I can't take this anymore. I've lost my temper completely.
temper,"Misato tried to be calm, but finally she lost her temper."
temper,Portia tempered justice with mercy.
therefore,"I don't think, therefore I am not."
therefore,"The party, therefore, had to take another route."
therefore,You have certain privileges and therefore corresponding responsibilities.
therefore,"Therefore, a center for the development of human resources should be built in Japan."
thigh,You need to have strong thigh muscles to skate.
thigh,She has a tattoo of a lizard on her thigh.
thigh,Under the thigh is the knee; under this one is the calf; under the latter is the foot.
thigh,I let my hand wander between her thighs for a long time.
thoughtful,You should be more thoughtful of your safety.
thoughtful,You were thoughtful to remember me in this way.
thoughtful,"He's only a boy, but he is very thoughtful."
thoughtful,Thank you very much for your thoughtful present.
threaten,The volcanic eruption threatened the village.
threaten,The sky had become threatening before I got to the station.
threaten,It will threaten the prosperity of the town.
threaten,That country has openly threatened to go nuclear.
thrifty,"He is thrifty, not to say stingy."
thrifty,"It is not wise, nor in the long run is it kind, to tax the thrifty for the thriftless."
thrifty,"Tom's not stingy, he's just very thrifty."
thrifty,"If you are thrifty, you will have some money left over at the end of the month."
thrill,Everybody was thrilled by his story.
thrill,I felt a thrill of joy at the thought of seeing her soon.
thrill,It was so thrilling and real fun.
thrill,"It was a daring adventure, full of thrill and excitement."
thrive,Pop artists thrive on the adulation of their loyal fans.
thrive,First thrive and then take a wife.
thrive,The shortage of water means that plants cannot thrive.
thrive,He that will thrive must ask leave of his wife.
tickle,Why can't we tickle ourselves?
tickle,"I'm tickled pink about winning 10,000 yen at the horse races."
tickle,Tickle her nose with a feather while she's sleeping and see if she wakes up.
tickle,Why can't we tickle each other?
tight,"Being a teacher, you must learn to keep a tight rein on your emotions."
tight,These shoes are too tight. They hurt.
tight,Check all the loose knots and fasten them tight.
tight,"If we hang tight, I'm sure we can make it through these bad times."
tightly,He gripped the tennis racket tightly.
tightly,"When Jane played horse with her father, she held on to him tightly."
tightly,Freedom of speech was tightly restricted.
tightly,He held on to my hand tightly.
tingle,The cola made my tongue tingle.
tingle,You'll feel a tingling sensation.
tingle,"My nerves, which were steady enough on the field of battle, tingled as I thought of it."
tingle,What makes you tingle real bad?
tins,The kitchen cupboard was filled with tins of soup and food.
tins,I've got a few more tins in the cellar. I think they're ravioli.
tins,The soldiers washed their mess tins in the river.
tins,I'd like two tins of tomatoes.
tit for tat,"Tom insulted me severely, but I gave him tit for tat."
tit for tat,"""Why did you break my vase?"" ""Tit for tat."""
tit for tat,I guess I overreacted and responded to what you said tit for tat.
to be aware,Therefore it is important for us to be aware of other forms of politeness.
to be aware,He doesn't seem to be aware of the problems.
to be aware,He seems to be aware of my feelings.
to be aware,He seems not to be aware of the conflict between my father and me.
to be cheap,It's probably going to be cheap for you to do that.
to be cheap,It's probably going to be cheap to do that.
to be cheap,It's going to be cheap to do that.
to be concerned about,What that fortuneteller said yesterday is nothing to be concerned about.
to be concerned about,Tom appears to be concerned about something.
to be concerned about,There's nothing to be concerned about.
to be concerned about,Tom doesn't seem to be concerned about anything.
to be fond of,She seems to be fond of talking about herself.
to be fond of,Tom seems to be fond of doing that.
to cheer up,"Hoping to cheer up his wife, Tom bought her a beautiful pearl necklace."
to cheer up,"He tried to cheer up his wife, but wasn't able to."
to cheer up,"The boy told a lie, probably to cheer up his parents."
to cheer up,"Hoping to cheer up his wife, he bought her a pearl necklace."
to curse,Nor was he ever known to curse unless against the government.
to curse,He knows how to curse in Chinese.
to curse,In the dark it's better to light a candle than to curse the darkness.
to curse,It is better to light a candle than to curse the darkness.
to feel like,I want to disappear somewhere! I tend to feel like that in sultry summers.
to feel like,Tom started to feel like his life wasn't worth living.
to feel like,I don't want to feel like this anymore.
to feel like,I don't want you to feel like prisoners.
to hinder,There is nothing to hinder me.
to hinder,"He didn't come to help, but to hinder us."
to hinder,"She didn't come to help, but to hinder us."
to hinder,With very simple steps it's possible to hinder the spread of the coronavirus.
to look forward to,Tom told me he had nothing to look forward to.
to look forward to,That's something to look forward to.
to look forward to,Tom has so much to look forward to.
to look forward to,Mary told me she had nothing to look forward to.
to quit,Any doctor will tell you to quit smoking.
to quit,I applaud your decision to quit smoking.
to quit,What made up your mind to quit smoking?
to quit,Jane is very content with her job and has no desire to quit it.
to reckon,The rescue flight had to reckon with strong winds and freezing temperatures.
to reckon,It's time to reckon with the legacy of colonization.
to show off,Don't you think this is a good opportunity to show off your talents?
to show off,The child started to run; perhaps he wanted to show off.
to show off,Girls like to show off their fine clothes.
to show off,The girls couldn't wait to show off their fine needle work to us.
to sleep in,This bed is too hard to sleep in.
to sleep in,You are not to sleep in this room.
to sleep in,Why do women want to sleep in a man's embrace?
to sleep in,I'm going to sleep in about an hour.
toddler,"Even toddlers can do it, so I'd like you to enjoy yourselves as a family."
toddler,"She was running down the street clutching two toddlers, one in each arm."
toddler,"Again, the toddler says, ""no, I won't"" as he is wont to do."
toddler,Crowning toddler beauty pageant queens is Mr. Fredericksen's passion.
torn,Your shirt is torn. You better put on another shirt.
torn,The roof was torn off by the gale.
torn,Who has torn the envelope open?
torn,Someone has torn two pages out of this book.
toss,I don't know which dress to choose; it's a toss up between the red one and the green one.
toss,We saw the boat tossing on the stormy sea.
toss,He tossed and turned all night.
toss,She is tossing and turning in bed.
tough,"To begin with, that kind of work is too tough for me."
tough,The communist gave in to his tough opponent at last.
tough,It was tough to finish the work.
tough,This car must have had tough usage.
tracksuit,He's wearing a blue tracksuit.
tracksuit,Tom was wearing a purple tracksuit.
tracksuit,You look absolutely hot in this tracksuit.
tracksuit,He was wearing his red tracksuit.
traits,Two traits of Americans are generosity and energy.
traits,Japan has many distinctive traits.
traits,What do you think are the racial traits of the Japanese?
traits,My father is happy when he sees his traits in me.
trashy,David is too trashy for Amanda.
trashy,This movie is really trashy; it’s just trying to shock people without offering any depth.
treacherous,"Treacherous fire, bring relief to my torment."
treacherous,Wet logs make for treacherous footing.
treacherous,Drive carefully! Those are treacherous roads up there.
treacherous,Drive carefully! The roads are treacherous.
treat,I refuse to be treated like a slave by you.
treat,"Just as you treat me, so I will treat you."
treat,I will not allow you to be ill-treated.
treat,The professor treated her as one of his students.
trip,This will be a good souvenir of my trip around the United States.
trip,How are you? Did you have a good trip?
trip,"You always like to trip me up, don't you?"
trip,You must be tired after such a long trip.
tummy,Sami's dog likes it when you rub his tummy.
tummy,"Sami, too, was in Mom's tummy."
tummy,I could hear my tummy rumbling.
tummy,"""Why does Skura have a big tummy?"" ""Because she has a little baby growing within her."""
tux,I've always wanted to wear a tux.
tux,Ziri looks ridiculous in that tux.
tux,Ziri's tux is at the cleaner's.
tux,I need to get fitted for a tux.
unassuming,She had an unassuming air that put everyone at ease.
unassuming,Mary was a quiet and unassuming young lady.
unassuming,"Mary is unassuming, isn't she?"
unassuming,The Ouija board was plain and unassuming.
unbearable,The pain was almost unbearable.
unbearable,Some children resort to suicide in order to escape from unbearable pressure.
unbearable,It's really unbearable to see him looking so down-and-out.
unbearable,We're suffering from an unbearable heat wave for the second week straight.
undergo,The surgeon persuaded me to undergo an organ transplant operation.
undergo,The surgeon persuaded him to undergo an organ transplant.
undergo,The surgeon persuaded me to undergo an operation.
undergo,The new engine must undergo all the necessary tests.
understated,Her dress has an understated charm.
understated,Algeria's economic progress cannot be understated.
understated,Mary's clothes are understated.
uneasiness,He took a deep breath and tried to put his uneasiness to rest.
uneventful,We'll do our best to make it an uneventful trip.
uneventful,The day was largely uneventful.
uneventful,Tom has led a pretty uneventful life.
uneventful,Succeeding years became more tiresome and uneventful than the nymph's joyous spirit loved.
unhinged,He acted like an unhinged moron.
unhinged,"Apropos of nothing, Tom went on an unhinged xenophobic rant."
unhinged,Some people have very unhinged beliefs about critical theory.
unravel,Who shall ever unravel the mysteries of the sea?
unravel,The sleeves of the sweater began to unravel.
unravel,"Today, we are going to unravel the mystery of the English subjunctive."
unravel,All her carefully made plans began to unravel one by one.
uplifting,Adding up numbers is very uplifting.
uplifting,Riding your bike on a path along a river surrounded by forests is really uplifting.
uplifting,It is possible to launder language to make it more appealing and uplifting.
uplifting,Tom is an uplifting trance producer and DJ from Boston.
utter,So great was his emotion that he could not utter a word.
utter,"Because of the street fighting, the city is in utter confusion."
utter,"When he left the place, it was in an utter mess."
utter,The street was in utter chaos.
vain,"We knocked at the door for five minutes, but in vain."
vain,All the doctor's efforts were in vain and the man soon died.
vain,"Dick tried to solve the problem, in vain."
vain,The old lady will often wait for her son in vain at the station.
venting,You should find a more constructive way of venting your anger.
venting,I'm just venting my frustration.
venting,I was just venting my frustration.
venting,He's venting his frustrations.
vine,There is a dense growth of vines in this forest.
vine,You don't get eggplants from a gourd vine.
vine,There is a quite old vine at Maribor.
vine,My uncle had a kiwi vine on his porch. The fruit was delicious.
vultures,Vultures circled above the dead body.
vultures,Vultures circled over the dead bodies.
vultures,"Where there's a body, you'll find vultures."
vultures,It is said that vultures can smell death.
wallow,"Quit wallowing in your postmodern, wangsty aimlessness and stand up for something!"
wallow,She seemed to be wallowing in her grief instead of trying to recover from the disaster.
wallow,Tom wallowed in self-pity after Mary dumped him.
wallow,A pig will wallow in the mud in order to cool down.
wasp,I got a nasty sting from a wasp.
wasp,"Tom is allergic to bees, hornets and wasps."
wasp,A swarm of wasps attacked the children.
wasp,Where are all these wasps coming from?
we shall see,We shall see if you are telling the truth.
we shall see,So why the detailed monitoring? We shall see now.
