front,back,hint,publishedAt,pronunciation
relentlessly,incansablemente,"She trained relentlessly for the marathon, pushing herself every day.",2025-04-30T17:00:08.383Z,/ɹɪˈlɛntləsli/
dizzying,vertiginoso,The dizzying speed of the roller coaster made everyone scream with excitement.,2025-04-27T11:24:26.807Z,/ˈdɪziɪŋ/
I wish it was the weekend.,Ojalá fuera el fin de semana.,,2025-04-25T04:50:35.102Z,/ˈaɪ ˈwɪʃ ˈɪt ˈwɑz ðə ˈwiˌkɛnd/
I wish I knew.,Ojalá lo supiera.,,2025-04-25T04:50:20.328Z,/ˈaɪ ˈwɪʃ ˈaɪ ˈnu/
burst,estallido,The balloon will burst if you blow it up too much.,2025-04-25T04:38:02.347Z,/ˈbɝst/
wallow,revolcarse por,"When you’re feeling down, you may wallow in your negativity.",2025-04-25T04:34:08.099Z,/ˈwɑloʊ/
overwhelms,abrumar,"This bad habit overwhelms your brain, splits your attention, and decreases your performance.",2025-04-20T07:51:33.594Z,/ˌoʊvɚˈwɛlmz/
diminishing,disminuyendo,"But instead of making yourself more productive, you’re creating extra stress and diminishing the quality of your work.",2025-04-20T07:51:18.142Z,/dɪˈmɪnɪʃɪŋ/
countless,incontable,"When your day feels busy and chaotic, you make the same mistake as countless other people.",2025-04-20T07:50:52.600Z,/ˈkaʊntləs/
uplifting,inspirador,"If fiction isn’t your favorite, non-fiction can be equally uplifting.",2025-04-20T07:49:30.588Z,/ˈʌˌplɪftɪŋ/
unravel,"Desenmarañar, resolver","As he read the book, he began to unravel the complex ideas the author presented.",2025-04-20T07:48:31.583Z,/əˈnɹævəl/
compelling,persuasivo,She gave a compelling argument for why we should support the project.,2025-04-20T07:46:11.327Z,/kəˈmpɛlɪŋ/
all mod cons,todas las comodidades,"The apartment has all mod cons, including a smart TV and a fully equipped kitchen.",2025-04-18T18:36:20.318Z,/ˈɔl ˈmɔd ˈkɑnz/
to feel like,tener ganas de,I don't feel like it.,2025-04-18T07:02:25.087Z,/ˈtu ˈfil ˈlaɪk/
as much as,tanto como,She loves curry as much as I do.,2025-04-18T07:01:38.858Z,/ˈæz ˈmʌtʃ ˈæz/
What should I wear?,¿Qué me pongo?,,2025-04-18T07:00:45.446Z,/ˈwʌt ˈʃʊd ˈaɪ ˈwɛɹ/
outgoing,extrovertido,She is very outgoing and loves to meet new people.,2025-04-15T06:22:41.048Z,/ˈaʊˌtɡoʊɪŋ/
coup,golpe de estado,"After the coup, the country faced a lot of instability.",2025-04-14T22:50:02.995Z,/ˈku/
none the less,no obstante,"She was tired; none the less, she finished her homework.",2025-04-13T21:59:17.321Z,/ˈnʌn ðə ˈlɛs/
pointless,sin sentido,"The whole mission was completely pointless, yet he was determined.",2025-04-11T08:11:36.054Z,/ˈpɔɪntləs/
tummy,barriguita,This diet gave him a tummy-ache and a beastly temper.,2025-04-10T05:11:42.927Z,/ˈtʌmi/
dwarf,enano,He was a kind of pot-bellied dwarf.,2025-04-10T05:10:22.846Z,/ˈdwɔɹf/
stroke,caricia,She gave the cat a gentle stroke.,2025-04-09T21:26:10.284Z,/ˈstɹoʊk/
nuances,matices,The artist captured the nuances of light in her painting.,2025-04-07T04:38:11.647Z,/ˈnuɑnsɪz/
to give a shit,que te importe una mierda,They didn't give a shit.,2025-04-07T04:35:28.786Z,/ˈtu ˈɡɪv ə ˈʃɪt/
supper,cena,We usually have supper at 7 PM.,2025-04-07T04:30:37.883Z,/ˈsʌpɚ/
come by,"conseguir, visitar",How did you come by this information?,2025-04-06T18:59:22.079Z,/ˈkʌm ˈbaɪ/
buy up,comprar todo,"During the sale, many people rushed to buy up the discounted items before they ran out.",2025-04-05T20:16:52.362Z,/ˈbaɪ ˈʌp/
pretend,fingir,He pretended to be sick to avoid going to school.,2025-04-03T01:28:35.553Z,/pɹiˈtɛnd/
have time on your hands,tener tiempo libre,"Since I finished my homework early, I have time on my hands to read my favorite book.",2025-04-02T20:32:28.117Z,/ˈhæv ˈtaɪm ˈɑn ˈjɔɹ ˈhændz/
catch up,ponerse al día,Let's order and catch up.,2025-04-01T22:03:38.886Z,/ˈkætʃ ˈʌp/
make up,inventar,She decided to make up a story about a magical land.,2025-04-01T08:14:38.596Z,/ˈmeɪk ˈʌp/
grumpy,gruñón,It turned into a grumpy toddler who started,2025-03-31T19:30:29.602Z,/ˈɡɹʌmpi/
hover,rondar,The drone can hover in one place for a long time.,2025-03-31T18:49:54.419Z,/ˈhʌvɚ/
withdraw,retirar,I need to withdraw some money from the bank.,2025-03-30T22:26:47.543Z,/wɪˈðdɹɔ/
stunning,"impresionante, aturdido",The sunset over the ocean was absolutely stunning.,2025-03-30T06:38:43.152Z,/ˈstʌnɪŋ/
undergo,someterse,The patient will undergo surgery next week.,2025-03-30T06:36:59.970Z,/ˌʌndɚˈɡoʊ/
slope,Pendiente,The slope of the hill was steep.,2025-03-30T06:32:37.441Z,/ˈsloʊp/
droves,manada,"During the festival, people came in droves to enjoy the celebrations.",2025-03-30T06:30:44.297Z,/ˈdɹoʊvz/
nasty,desagradable,The food was so nasty that I couldn't eat it.,2025-03-30T06:13:46.724Z,/ˈnæsti/
to look forward to,esperar con ansias,I am looking forward to seeing you.,2025-03-30T06:12:26.353Z,/ˈtu ˈlʊk ˈfɔɹwɚd ˈtu/
by all means,por supuesto,Can I borrow your car? - By all means!,2025-03-30T06:11:10.865Z,/ˈbaɪ ˈɔl ˈminz/
by chance,por casualidad,I heard their secrets by chance.,2025-03-30T06:10:56.907Z,/ˈbaɪ ˈtʃæns/
shocking,impactante,I heard the shocking news.,2025-03-30T06:09:21.997Z,/ˈʃɑkɪŋ/
keen on,aficionado a,He is not keen on watching horror movies.,2025-03-28T22:29:47.912Z,/ˈkin ˈɑn/
reckless,imprudente,They made a reckless decision without considering the risks.,2025-03-26T23:14:55.726Z,/ˈɹɛkləs/
Friggin huzzah!,"¡Joder, qué alegría!","After finishing the big project, she shouted, ""Friggin huzzah!",2025-03-26T18:26:44.046Z,/ˈfɹɪɡɪn həˈzɑ/
look into,investigar,Can you look into why the website is not working?,2025-03-25T20:04:07.176Z,/ˈlʊk ˈɪntu/
leap,salto,"Inspired, Jack took a leap of faith and quit his job right away, ready to chase the life he always wanted.",2025-03-25T06:11:06.995Z,/ˈlip/
How come..?,¿Cómo es que...?,How come I can't find any broccoli?,2025-03-24T18:56:57.716Z,/ˈhaʊ ˈkʌm/
sobbing,sollozando,She was sobbing quietly in the corner.,2025-03-24T14:28:52.280Z,/ˈsɑbɪŋ/
lay off,despedir,The company had to lay off several employees due to budget cuts.,2025-03-21T19:40:46.695Z,/ˈleɪ ˈɔf/
no rhyme or reason,sin ton ni son,"Her decision to quit the job seemed to have no rhyme or reason, leaving everyone puzzled.",2025-03-21T07:34:09.466Z,/ˈnoʊ ˈɹaɪm ˈɔɹ ˈɹizən/
fluffy,esponjoso,I love fluffy pancakes for breakfast.,2025-03-21T06:26:31.613Z,/ˈflʌfi/
appealing,atractivo,She wore an appealing dress that everyone admired.,2025-03-19T05:48:24.849Z,/əˈpilɪŋ/
frowned upon,mal visto,Arriving late to meetings is usually frowned upon in the workplace.,2025-03-19T05:45:10.037Z,/ˈfɹaʊnd əˈpɑn/
aching,dolor,"After running for an hour, my legs were aching.",2025-03-18T06:11:55.249Z,/ˈeɪkɪŋ/
looting,saqueo,"The store was closed during the storm, and some people took advantage of the situation by looting it.",2025-03-17T22:50:42.314Z,/ˈlutɪŋ/
disclose,revelar,The company decided to disclose its financial results to the public.,2025-03-17T13:16:24.821Z,/dɪˈskloʊz/
scramble,revolver,He tried to scramble the letters to make a new word.,2025-03-15T12:06:41.082Z,/ˈskɹæmbəl/
stink,apesta,The garbage stinks.,2025-03-15T12:01:13.696Z,/ˈstɪŋk/
what the heck,¿Qué diablos...?,I just found out that my favorite show is canceled. What the heck?,2025-03-15T11:59:52.192Z,/ˈwʌt ðə ˈhɛk/
dork,idiota,He is such a dork for loving comic books.,2025-03-15T11:53:42.281Z,/dɔɹk/
by the way,por cierto,"We had a great time at the party. By the way, I saw your friend there.",2025-03-15T11:48:27.085Z,/ˈbaɪ ðə ˈweɪ/
figured,"imaginar, suponer",She figured that he would come to the party.,2025-03-15T11:46:51.795Z,/ˈfɪɡjɚd/
runt,enano,"Don't worry, being a runt just means you're unique!",2025-03-15T11:36:58.779Z,/ɹʌnt/
right away,de inmediato,Please call me right away.,2025-03-15T11:28:56.241Z,/ˈɹaɪt əˈweɪ/
sissy,blandengue,Don't be such a sissy; try climbing that tree!,2025-03-15T11:27:38.477Z,/ˈsɪsi/
jerk,imbécil,He is such a jerk for not helping his friends.,2025-03-15T11:20:59.867Z,/ˈdʒɝk/
follow your nose,sigue tu olfato,"When you get lost in the city, just follow your nose and you might find something interesting.",2025-03-13T19:20:23.889Z,/ˈfɑloʊ ˈjɔɹ ˈnoʊz/
shallow,poco profundo,"The lake is very shallow, so we can walk across it.",2025-03-12T20:48:14.221Z,/ˈʃæloʊ/
go off,explotar,The bomb went off in the busiest part of the town.,2025-03-11T19:24:35.412Z,/ˈɡoʊ ˈɔf/
foil,frustrar,The witch's evil plan was foiled.,2025-03-11T06:08:14.933Z,/ˈfɔɪl/
whining,gimoteo,The child was whining because he wanted a toy.,2025-03-11T05:34:37.081Z,/ˈwaɪnɪŋ/
goose bumps,piel de gallina,The music was so beautiful that it gave me goose bumps.,2025-03-10T19:51:00.497Z,/ˈɡus ˈbʌmps/
With a heavy heart,Con el corazón encogido,"With a heavy heart, she confronted him in the grand hall.",2025-03-10T19:23:10.125Z,/ˈwɪð ə ˈhɛvi ˈhɑɹt/
fate,destino,"One day, she decided to return, ready to face her fate.",2025-03-10T19:20:45.865Z,/ˈfeɪt/
flee,huir,The rabbit will flee if it sees a predator.,2025-03-10T19:18:35.448Z,/ˈfli/
plotting,trazando,The students are plotting their science project together.,2025-03-10T19:17:50.672Z,/ˈplɑtɪŋ/
impending doom,final inminente,calm despite the impending doom.,2025-03-10T19:17:18.350Z,/ˌɪˈmpɛndɪŋ ˈdum/
impending,inminente,calm despite the impending doom.,2025-03-10T19:17:10.797Z,/ˌɪˈmpɛndɪŋ/
keep a straight face,mantener la cara seria,"During the serious meeting, she had to keep a straight face when her friend made a silly joke.",2025-03-10T18:56:19.455Z,/ˈkip ə ˈstɹeɪt ˈfeɪs/
downfall,caída,The novel tells the story of a hero's downfall.,2025-03-10T06:04:32.359Z,/ˈdaʊˌnfɔl/
led to,condujo a,Her hard work led to a promotion at her job.,2025-03-10T06:04:05.386Z,/ˈlɛd ˈtu/
on behalf,en nombre de,I am speaking on behalf of my team at the meeting.,2025-03-10T06:00:59.282Z,/ˈɑn bɪˈhæf/
depict,representar,The painting depicts a beautiful landscape.,2025-03-10T05:58:51.947Z,/dɪˈpɪkt/
oddly,extrañamente,"She found a small, oddly shaped",2025-03-09T09:19:00.968Z,/ˈɑdli/
concrete jungle,jungla de cemento,"The children played in the park, trying to escape the concrete jungle around them.",2025-03-08T18:43:59.651Z,/kəˈnkɹit ˈdʒʌŋɡəl/
to be fond of,ser aficionado a,She is fond of reading books in her free time.,2025-03-08T11:13:13.965Z,/ˈtu ˈbi ˈfɑnd ˈʌv/
to get the car mended,"arreglar, reparar un coche",i need to get my car mended,2025-03-07T06:44:04.193Z,/ˈtu ˈɡɛt ðə ˈkɑɹ ˈmɛnd��d/
It's a tie!,¡Es un empate!,it's a tie for first place,2025-03-07T06:42:44.835Z,/ˈɪts ə ˈtaɪ/
for too long,por demasiado tiempo,Don't let me wait for too long.,2025-03-07T06:41:59.120Z,/ˈfɔɹ ˈtu ˈlɔŋ/
outstanding,"espectacular, excepcional",The view from the top of the mountain was outstanding.,2025-03-07T06:41:22.840Z,/ˌaʊˈtstændɪŋ/
to reckon,"estimar, pensar",I reckon it will take about an hour to get there.,2025-03-07T06:41:05.273Z,/ˈtu ˈɹɛkən/
regret,arrepentirse,I regret not studying harder for the exam.,2025-03-04T20:20:09.232Z,/ɹəˈɡɹɛt/
beneath,bajo,"a moment, feeling the warm sand beneath their feet.",2025-03-04T05:39:46.841Z,/bɪˈniθ/
pounding,golpeteo,The pounding of the drums filled the air.,2025-03-04T05:35:58.046Z,/ˈpaʊndɪŋ/
sorcerer,brujo,"through the forest, escaping the evil sorcerer's",2025-03-04T05:35:32.106Z,/ˈsɔɹsɚɚ/
stand in for,sustituir a,Can you stand in for me at the meeting tomorrow?,2025-03-02T22:55:40.365Z,/ˈstænd ɪn ˈfɔɹ/
pulse,legumbre,Lentils and chickpeas are pulses.,2025-03-02T20:06:55.500Z,/ˈpʌls/
glum,sombrío,She looked glum after hearing the bad news.,2025-03-02T19:18:59.009Z,/ˈɡlʌm/
ambush,emboscada,The soldiers planned an ambush to surprise the enemy.,2025-03-02T18:17:09.887Z,/ˈæˌmbʊʃ/
grim,sombrío,"The weather was grim, with dark clouds and heavy rain.",2025-03-02T18:16:31.439Z,/ˈɡɹɪm/
scattered,disperso/dispersa,I understand that you are a bit scattered.,2025-03-02T10:13:56.807Z,/ˈskætɚd/
I decided to do it.,Decidí hacerlo.,,2025-03-02T10:13:49.133Z,/ˈaɪ ˌdɪˈsaɪdɪd ˈtu ˈdu ˈɪt/
I suggest that you quit smoking.,Te sugiero que dejes de fumar.,,2025-03-02T10:13:07.256Z,/ˈaɪ səˈdʒɛst ˈðæt ˈju ˈkwɪt ˈsmoʊkɪŋ/
to quit,dejar de hacer algo,I'm going to quit my job and travel the world.,2025-03-02T10:12:52.309Z,/ˈtu ˈkwɪt/
savory,salado,She prefers savory snacks over sweet ones.,2025-02-26T05:43:08.652Z,/ˈseɪvɚi/
shelter,refugio,", and he found shelter under a tree.",2025-02-25T05:40:51.692Z,/ˈʃɛltɚ/
moan,quejarse,He always moans about his job.,2025-02-23T19:15:07.650Z,/ˈmoʊn/
to be concerned about,preocuparse,He is concerned about passing the exam.,2025-02-23T08:12:30.878Z,/ˈtu ˈbi kəˈnsɝnd əˈbaʊt/
leisure,ocio,I like to read books in my leisure time.,2025-02-23T07:25:44.268Z,/ˈlɛʒɚ/
out of the blue,sin avisar,She called me out of the blue after years of no contact.,2025-02-22T21:25:35.503Z,/ˈaʊt ˈʌv ðə ˈblu/
stroll,pasear,"As he strolled through the park, he saw an old friend, Sarah, sitting on a bench.",2025-02-22T07:37:53.391Z,/ˈstɹoʊl/
because of,debido a,We cancelled the trip because of the rain.,2025-02-22T07:30:31.765Z,/bɪˈkɔz ˈʌv/
Since it's your birthday,Porque es tu cumpleaños,"Since it's your birthday, you got to be invited for lunch today.",2025-02-22T07:30:10.902Z,/ˈsɪns ˈɪts ˈjɔɹ ˈbɝˌθdeɪ/
therefore,por lo tanto,He was injured and therefore unable to play.,2025-02-22T07:29:06.216Z,/ˈðɛˌɹfɔɹ/
You can't get away with it!,¡No te saldrás con la tuya!,You can't get away with cheating on the test. The teacher will find out.,2025-02-22T07:28:24.300Z,/ˈju ˈkænt ˈɡɛt əˈweɪ ˈwɪð ˈɪt/
get across,"expresar, hacer entender // atravesar","I tried to get my point across to the teacher, but she didn't seem to understand.",2025-02-22T07:27:40.621Z,/ˈɡɛt əˈkɹɔs/
get on / along with somebody,Llevarse bien con alguien,Do you get on with your colleagues?,2025-02-22T07:27:09.455Z,/ˈɡɛt ˈɑn əˈlɔŋ ˈwɪð ˈsʌˌmbɑdi/
get over,superar algo o a alguien,I had flu last week but I’ve got over it now.,2025-02-22T07:27:00.738Z,/ˈɡɛt ˈoʊvɚ/
get back,volver,We should get back by 7:30. Can you wait for us?,2025-02-22T07:26:22.139Z,/ˈɡɛt ˈbæk/
get out,¡Sal de aquí!,Get out of my room!,2025-02-22T07:26:11.915Z,/ˈɡɛt ˈaʊt/
get better,mejorar,You can get better at English by practicing.,2025-02-22T07:23:54.269Z,/ˈɡɛt ˈbɛtɚ/
with a grin,con una sonrisa,""" she said with a grin.",2025-02-20T04:59:30.075Z,/ˈwɪð ə ˈɡɹɪn/
hiking,senderismo,"""I heard you’re going hiking.",2025-02-20T04:58:34.119Z,/ˈhaɪkɪŋ/
bustling,bullicioso,"In a bustling city, a woman",2025-02-20T03:33:01.332Z,/ˈbʌsəlɪŋ/
scrub,frotar/fregar,He decided to scrub the old paint off the wall.,2025-02-19T21:32:29.834Z,/ˈskɹʌb/
at last!,¡por fin!,"After waiting for hours, the bus arrived at last!",2025-02-16T20:36:13.638Z,/ˈæt ˈlæst/
rather,bastante,The weather is rather cold today.,2025-02-16T08:18:25.538Z,/ˈɹæðɚ/
it comes to,se trata de,"In the end, it comes to how much effort you are willing to put in.",2025-02-16T08:16:28.823Z,/ˈɪt ˈkʌmz ˈtu/
dish out,servir,"At the party, she will dish out the cake to all the guests.",2025-02-16T08:12:39.295Z,/ˈdɪʃ ˈaʊt/
crumble,desmoronarse,The old building began to crumble after the earthquake.,2025-02-16T08:10:18.965Z,/ˈkɹʌmbəl/
follow up,seguimiento,Ron had to go to the doctor for a follow-up.,2025-02-15T20:45:59.034Z,/ˈfɑloʊ ˈʌp/
it will pay off,valdrá la pena,"If you keep studying every day, it will pay off in your exams.",2025-02-15T18:47:56.101Z,/ˈɪt ˈwɪl ˈpeɪ ˈɔf/
complaints,quejas,I have several complaints about the service at the restaurant.,2025-02-15T08:27:01.779Z,/kəˈmpleɪnts/
appointment,cita,I have an appointment with the doctor at 3 PM.,2025-02-15T08:25:14.575Z,/əˈpɔɪntmənt/
that's wild!,¡Qué fuerte!,"When I heard that she won the lottery, I said, ""That's wild!",2025-02-13T19:45:26.512Z,/ˈðæts ˈwaɪld/
eventually,finalmente,She eventually found her lost keys.,2025-02-13T18:28:19.576Z,/ɪˈvɛntʃəwəli/
pat,palmadita,He received a pat on the back for his hard work.,2025-02-12T05:50:41.255Z,/ˈpæt/
to hinder,dificultar/entorpecer,His lack of experience may hinder his chances of getting the job.,2025-02-12T05:47:08.231Z,/ˈtu ˈhɪndɚ/
thrill,emoción,I felt a thrill when I rode the roller coaster.,2025-02-12T05:44:46.067Z,/ˈθɹɪl/
to let know,Avisar,Please let me know if you can come to the party.,2025-02-12T05:33:49.202Z,/ˈtu ˈlɛt ˈnoʊ/
slightly,un poco,The prices are slightly higher than they were last year.,2025-02-11T07:24:20.853Z,/ˈslaɪtli/
I don't quite understand.,No entiendo exactamente.,"I'm sorry, but I don't quite understand what you mean by 'cultural diversity'.",2025-02-11T07:24:13.578Z,/ˈaɪ ˈdoʊnt ˈkwaɪt ˌʌndɚˈstænd/
not quite,"no exactamente, no del todo","Yet, it is not quite finished.I'm sorry, but I don't quite understand what you mean by 'cultural diversity'.",2025-02-11T07:23:55.840Z,/ˈnɑt ˈkwaɪt/
far more,mucho más,Love is far more important than money.,2025-02-11T07:23:45.199Z,/ˈfɑɹ ˈmɔɹ/
toddler,niño pequeño,The toddler is learning to walk.,2025-02-10T06:08:06.315Z,/ˈtɑdlɚ/
it turns out,resulta que,"He thought he lost his keys, but it turns out they were in his pocket.",2025-02-09T23:03:35.620Z,/ˈɪt ˈtɝnz ˈaʊt/
culprit,culpable,The police found the culprit of the robbery.,2025-02-09T23:00:37.693Z,/ˈkʌlpɹɪt/
mould,moho,We need to clean the bathroom to prevent mould from growing.,2025-02-09T22:57:04.266Z,/ˈmoʊld/
to shed light,arrojar luz,The teacher shed light on the difficult math problem during the class.,2025-02-09T22:50:47.033Z,/ˈtu ˈʃɛd ˈlaɪt/
naive,ingenuo,She was too naive to realize that he was lying to her.,2025-02-09T20:12:26.601Z,/ˌnaɪˈiv/
steep,empinado,The hill is very steep.,2025-02-09T20:10:31.006Z,/ˈstip/
outcomes,resultados,they could see how outcomes changed,2025-02-09T20:06:13.586Z,/ˈaʊˌtkʌmz/
offspring,descendencia,She is proud of her offspring and their achievements.,2025-02-09T20:04:10.880Z,/ˈɔˌfspɹɪŋ/
dashed,arruinado/frustrado,"a randomized control trial, was dashed.",2025-02-09T20:03:16.067Z,/ˈdæʃt/
stumble,tropezar,I stumbled on the sidewalk and almost fell.,2025-02-09T09:07:13.744Z,/ˈstʌmbəl/
commitment,compromiso,She showed great commitment to her studies by studying every day.,2025-02-09T08:56:45.881Z,/kəˈmɪtmənt/
overheard,escuchado por casualidad,"One day, he overheard a conversation about a new business opportunity that",2025-02-09T08:52:15.191Z,/ˈoʊvɚˈhɝd/
in the guise of,en la apariencia de,"He approached her in the guise of a friend, but he had other intentions.",2025-02-09T00:30:20.869Z,/ɪn ðə ˈɡaɪz ˈʌv/
under par,mal / mediocre,Her performance in the school play was under par compared to last year.,2025-02-08T19:50:08.234Z,/ˈʌndɚ ˈpɑɹ/
to weigh up,sopesar,"Before choosing a school, it's important to weigh up all your options.",2025-02-08T08:47:52.304Z,/ˈtu ˈweɪ ˈʌp/
In the wake of,A raíz de,She received a lot of support in the wake of her recent loss.,2025-02-08T08:44:15.585Z,/ɪn ðə ˈweɪk ˈʌv/
overall,en general,"Overall, I think we did a great job.",2025-02-08T08:39:53.796Z,/ˈoʊvɚˌɔl/
hesitant,vacilante/indeciso,He gave a hesitant answer when asked about his plans.,2025-02-07T21:41:09.336Z,/ˈhɛzɪtənt/
hopelessly in love,perdidamente enamorado,She's hopelessly in love with him.,2025-02-07T18:30:17.462Z,/ˈhoʊpləsli ɪn ˈlʌv/
bashfully,tímidamente,He was smiling bashfully.He bashfully looked away when she smiled at him.,2025-02-07T18:29:53.488Z,/ˈbæʃfəli/
giggle,risilla,She giggled at the silly joke her friend told.,2025-02-07T06:22:27.072Z,/ˈɡɪɡəl/
mirage,espejismo,She realized that her dream of becoming a famous singer was just a mirage.,2025-02-06T18:11:49.245Z,/mɚˈɑʒ/
to be all but confirmed.,estar casi confirmado.,The new movie is all but confirmed to be released next summer.,2025-02-06T18:07:20.895Z,/ˈtu ˈbi ˈɔl ˈbʌt kəˈnfɝmd/
takeaway,conclusión,That is sort of the takeaway.,2025-02-05T06:11:48.541Z,/ˈteɪkəˌweɪ/
to be hard to bear,ser difícil de soportar,The loss of a loved one can be hard to bear.,2025-02-04T22:44:52.958Z,/ˈtu ˈbi ˈhɑɹd ˈtu ˈbɛɹ/
feasible,factible,"Well, that's just not feasible.",2025-02-04T07:28:04.752Z,/ˈfizəbəl/
cuddling,mimos,"After a long day, I love cuddling on the couch with my dog.",2025-02-04T06:07:00.121Z,/ˈkʌdlɪŋ/
willpower,fuerza de voluntad,Don't you have any willpower?,2025-02-04T06:05:30.892Z,/ˈwɪˌlpaʊɚ/
It's chilling.,Es escalofriante.,The story about the haunted house is chilling and keeps me awake at night.,2025-02-04T06:05:08.433Z,/ˈɪts ˈtʃɪlɪŋ/
to be in the offing,está al caer,"The new movie is in the offing, and fans are excited to see the trailer.",2025-02-04T06:03:50.984Z,/ˈtu ˈbi ɪn ðə ˈɔfɪŋ/
Keep it up!,¡Sigue así!,Keep up the good work.,2025-02-03T19:01:12.953Z,/ˈkip ˈɪt ˈʌp/
to sleep in,dormir hasta tarde,I'm going to sleep in tomorrow since I don't have to work.She decided to sleep in because she didn’t have work today.,2025-02-03T19:00:38.294Z,/ˈtu ˈslip ɪn/
to cheer up,"animarse, alegrarse",She knows how to cheer up the saddest person in the world.,2025-02-03T18:59:48.094Z,/ˈtu ˈtʃɪɹ ˈʌp/
to show off,"presumir, alardear",He enjoyed showing off his muscles at the beach.She bought a new dress to show off at the party.,2025-02-03T18:59:18.903Z,/ˈtu ˈʃoʊ ˈɔf/
Out of curiosity,Por curiosidad,"Out of curiosity,what is your secret ingredient?",2025-02-03T18:51:25.739Z,/ˈaʊt ˈʌv ˌkjʊɹiˈɑsəti/
snooping,fisgonear,She was caught snooping through her sister's diary.,2025-02-03T18:51:02.115Z,/ˈsnupɪŋ/
stain,Mancha,I will find itand show you that stain!,2025-02-03T18:50:07.671Z,/ˈsteɪn/
trip,tropezar,Be careful not to trip on the stairs!,2025-02-03T18:45:17.798Z,/ˈtɹɪp/
clumsy,torpe,He is so clumsy that he always drops things.,2025-02-03T18:44:35.920Z,/ˈklʌmzi/
figure out,resolver/descubrir la solución,I need to figure out how to fix my bike.,2025-01-30T07:01:38.604Z,/ˈfɪɡjɚ ˈaʊt/
for the record,para que conste,"Just for the record, I finished my homework on time.",2025-01-30T07:00:15.361Z,/ˈfɔɹ ðə ɹəˈkɔɹd/
to be up to somebody,(algo) ser decisión de (alguien),The final decision is up to the manager.,2025-01-30T06:59:36.391Z,/ˈtu ˈbi ˈʌp ˈtu ˈsʌˌmbɑdi/
to get something straight,dejar bien claro,Let me get this straight - you want me to work overtime on Saturday?,2025-01-29T16:11:10.865Z,/ˈtu ˈɡɛt ˈsʌmθɪŋ ˈstɹeɪt/
a 7 out of ten,un 7 de diez,The pizza was delicious; I rate it a 9 out of ten.,2025-01-29T05:36:43.144Z,/ə ˈaʊt ˈʌv ˈtɛn/
slippers,zapatillas,I like to wear my slippers when I relax at home.,2025-01-26T15:36:00.564Z,/ˈslɪpɚz/
neglected,descuidado,The garden was neglected for years.,2025-01-26T15:30:11.774Z,/nəˈɡlɛktəd/
run out of,Quedarse sin,I ran out of sugar while baking.,2025-01-26T15:29:16.658Z,/ˈɹʌn ˈaʊt ˈʌv/
tough,duro/difícil,but she's a tough old bird.,2025-01-25T12:57:05.721Z,/ˈtʌf/
